Report,Date,Community Area
Vacant/Abandoned Building,02/16/2011,43
Vacant/Abandoned Building,02/16/2011,43
Vacant/Abandoned Building,02/16/2011,58
Vacant/Abandoned Building,02/17/2011,25
Vacant/Abandoned Building,02/17/2011,25
Vacant/Abandoned Building,02/17/2011,29
Vacant/Abandoned Building,02/17/2011,43
Vacant/Abandoned Building,02/17/2011,53
Vacant/Abandoned Building,02/17/2011,53
Vacant/Abandoned Building,02/17/2011,53
Vacant/Abandoned Building,02/17/2011,68
Vacant/Abandoned Building,02/17/2011,69
Vacant/Abandoned Building,02/18/2011,12
Vacant/Abandoned Building,02/18/2011,25
Vacant/Abandoned Building,02/18/2011,25
Vacant/Abandoned Building,02/18/2011,44
Vacant/Abandoned Building,02/18/2011,49
Vacant/Abandoned Building,02/18/2011,52
Vacant/Abandoned Building,02/18/2011,68
Vacant/Abandoned Building,02/18/2011,69
Vacant/Abandoned Building,02/19/2011,3
Vacant/Abandoned Building,02/19/2011,23
Vacant/Abandoned Building,02/19/2011,27
Vacant/Abandoned Building,02/19/2011,67
Vacant/Abandoned Building,02/19/2011,69
Vacant/Abandoned Building,02/21/2011,15
Vacant/Abandoned Building,02/21/2011,73
Vacant/Abandoned Building,02/22/2011,23
Vacant/Abandoned Building,02/22/2011,42
Vacant/Abandoned Building,02/22/2011,48
Vacant/Abandoned Building,02/22/2011,67
Vacant/Abandoned Building,02/23/2011,31
Vacant/Abandoned Building,02/23/2011,31
Vacant/Abandoned Building,02/23/2011,54
Vacant/Abandoned Building,02/23/2011,67
Vacant/Abandoned Building,02/23/2011,69
Vacant/Abandoned Building,02/23/2011,69
Vacant/Abandoned Building,02/23/2011,69
Vacant/Abandoned Building,02/23/2011,71
Vacant/Abandoned Building,02/24/2011,25
Vacant/Abandoned Building,02/24/2011,44
Vacant/Abandoned Building,02/25/2011,24
Vacant/Abandoned Building,02/25/2011,36
Vacant/Abandoned Building,02/25/2011,69
Vacant/Abandoned Building,02/26/2011,71
Vacant/Abandoned Building,02/28/2011,24
Vacant/Abandoned Building,02/28/2011,25
Vacant/Abandoned Building,02/28/2011,53
Vacant/Abandoned Building,03/01/2011,26
Vacant/Abandoned Building,03/01/2011,41
Vacant/Abandoned Building,03/01/2011,42
Vacant/Abandoned Building,03/01/2011,42
Vacant/Abandoned Building,03/01/2011,42
Vacant/Abandoned Building,03/01/2011,50
Vacant/Abandoned Building,03/01/2011,53
Vacant/Abandoned Building,03/01/2011,53
Vacant/Abandoned Building,03/01/2011,68
Vacant/Abandoned Building,03/02/2011,3
Vacant/Abandoned Building,03/02/2011,7
Vacant/Abandoned Building,03/02/2011,30
Vacant/Abandoned Building,03/02/2011,45
Vacant/Abandoned Building,03/02/2011,47
Vacant/Abandoned Building,03/02/2011,53
Vacant/Abandoned Building,03/02/2011,61
Vacant/Abandoned Building,03/02/2011,61
